0.42413,0.55942,1
0.78487,0.48685,2
0.91059,0.82085,1
0.71395,0.47106,1
0.77074,0.48234,2
0.48794,0.72039,1
0.73675,0.56081,1
0.33484,0.18424,2
0.64586,0.4812,1
0.46702,0.58887,
0.3534,0.60093,1
0.33593,0.68775,1
0.19944,0.03,2
0.30936,0.34431,
0.30149,0.26338,2
0.68219,0.78601,1
0.32782,0.55997,2
0.03,0.47757,2
0.64082,0.46166,2
0.76254,0.21704,2
0.70576,0.41654,1
0.71269,0.61245,1
0.37302,0.60691,2
0.65695,0.27878,
0.54181,0.43986,2
0.52084,0.54567,1
0.50263,0.76603,1
0.21357,0.44704,2
0.46191,0.60444,1
0.58339,0.40507,1
0.17884,0.44486,2
0.73543,0.44666,2
0.82628,0.68288,1
0.49255,0.43164,2
0.81877,0.45135,1
0.5634,0.68306,1
0.20352,0.53621,2
0.46107,0.77136,
0.35986,0.69804,1
0.18737,0.34697,2
0.50058,0.74031,1
0.18386,0.47166,2
0.23046,0.22532,
0.3378,0.44711,2
0.3041,0.3696,2
0.3656,0.31993,
0.68565,0.39146,2
0.47017,0.77996,1
0.36157,0.61922,1
0.26689,0.48919,2
0.41939,0.67783,1
0.6562,0.43533,
0.79582,0.48599,2
0.80848,0.67788,1
0.34544,0.85954,
0.57285,0.27229,2
0.58337,0.60052,1
0.22814,0.34268,2
0.83814,0.69872,1
0.65229,0.65662,2
0.73368,0.2455,2
0.17953,0.34666,2
0.14324,0.47785,2
0.44267,0.71895,1
0.82785,0.78025,
0.70739,0.50414,1
0.62619,0.46909,
0.19919,0.22556,2
0.50406,0.57488,1
0.45983,0.73599,1
0.32527,0.61083,1
0.19346,0.26148,2
0.68628,0.63693,2
0.25281,0.37402,2
0.22126,0.28265,2
0.74876,0.49338,1
0.63683,0.7921,1
0.40624,0.64444,1
0.41517,0.43589,1
0.79547,0.69625,
0.6416,0.5762,1
0.83355,0.5761,1
0.7669,0.68589,1
0.28991,0.21046,2
0.24992,0.29699,2
0.73516,0.5938,1
0.62992,0.36628,2
0.15331,0.13567,2
0.77884,0.4449,1
0.46794,0.53516,1
0.29343,0.33711,2
0.71614,0.69808,1
0.45224,0.71324,1
0.71185,0.68175,1
0.31114,0.28975,2
0.58345,0.54842,1
0.69934,0.6936,1
0.25929,0.81558,2
0.79576,0.68695,1
0.68354,0.42893,2
0.815,0.35526,1
0.26651,0.19058,2
0.4713,0.7185,1
0.67625,0.80457,1
0.52597,0.672,1
0.31971,0.51424,1
0.32926,0.45507,2
0.62667,0.47242,2
0.65507,0.4305,1
0.65648,0.37295,2
0.59061,0.62471,1
0.74565,0.51294,1
0.37033,0.26124,
0.25245,0.51539,2
0.45368,0.59947,1
0.20523,0.41059,2
0.69679,0.64881,1
0.84488,0.67467,1
0.16155,0.22603,2
0.71432,0.43977,2
0.664,0.46818,1
0.25858,0.30637,2
0.30123,0.84067,1
0.67327,0.39744,2
0.76743,0.58881,1
0.52197,0.85165,1
0.3227,0.33332,2
0.46202,0.91371,1
0.67914,0.48785,2
0.49408,0.65179,1
0.64857,0.65055,2
0.34356,0.57406,2
0.45694,0.71056,1
0.75746,0.48412,1
0.71785,0.24287,2
0.46457,0.60972,1
0.60358,0.47245,2
0.25085,0.33806,2
0.59077,0.48274,
0.80583,0.43242,2
0.21316,0.48523,2
0.75035,0.31631,
0.75457,0.7259,1
0.40581,0.50926,1
0.80969,0.2317,2
0.73275,0.69149,1
0.65327,0.51585,2
0.32905,0.58772,1
0.57962,0.57837,2
0.52621,0.59493,1
0.2246,0.10978,2
0.43161,0.66644,
0.79935,0.7757,1
0.47348,0.72408,1
0.58388,0.38304,2
0.68124,0.40018,2
0.68555,0.52989,1
0.45847,0.7729,1
0.74735,0.76143,1
0.79516,0.31878,2
0.66562,0.36352,1
0.68408,0.43479,2
0.30005,0.19643,2
0.35518,0.77238,1
0.65013,0.31638,2
0.36057,0.71561,1
0.6733,0.29485,2
0.70743,0.50325,2
0.39816,0.60765,1
0.70647,0.65933,1
0.23027,0.32409,2
0.68491,0.74309,1
0.25621,0.61506,2
0.57721,0.38516,2
0.51042,0.56585,
0.71973,0.51689,1
0.42403,0.7592,1
0.14737,0.28498,2
0.47952,0.85569,1
0.79157,0.59996,1
0.64287,0.24904,
0.2474,0.40743,2
0.72496,0.34835,2
0.73195,0.53492,1
0.36842,0.76576,1
0.24341,0.2432,2
0.73681,0.71261,
0.66773,0.31155,2
0.68574,0.38674,2
0.16035,0.23985,
0.38312,0.65216,1
0.76369,0.40273,1
0.37646,0.62974,
0.32289,0.6747,1
0.28077,0.27116,2
0.6248,0.39922,2
0.61106,0.28476,2
0.34044,0.55512,2
0.23854,0.22288,
0.32417,0.44378,2
0.14575,0.48239,2
0.76138,0.32629,
0.75421,0.40498,2
0.52124,0.39125,2
0.39868,0.47605,1
0.68094,0.51128,
0.42647,0.66846,1
0.59655,0.56029,2
0.21576,0.62174,2
0.38038,0.67232,1
0.67906,0.83605,1
0.44606,0.62504,
0.71946,0.45413,2
0.71349,0.56463,1
0.36745,0.52006,1
0.39742,0.68201,
0.42978,0.87969,1
0.91185,0.48697,1
0.51634,0.41288,2
0.28822,0.59644,2
0.40233,0.59994,1
0.76542,0.68866,1
0.6504,0.51624,2
0.29163,0.086547,2
0.6269,0.4795,2
0.35813,0.58584,1
0.13903,0.49398,2
0.68853,0.41466,
0.5843,0.38374,2
0.56487,0.17003,2
0.287,0.46814,2
0.4434,0.6239,1
0.44575,0.64683,1
0.59235,0.54123,
0.26726,0.3732,2
0.79129,0.44335,1
0.73381,0.46908,1
0.25924,0.42696,2
0.70685,0.64383,1
0.69058,0.34978,2
0.55819,0.38293,2
0.77398,0.5357,1
0.75983,0.58359,
0.75047,0.6092,1
0.72842,0.61048,1
0.68469,0.2221,2
0.73064,0.25413,2
0.70666,0.3433,
0.29812,0.34673,2
0.55763,0.43813,1
